DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
Brian Martin,"Martin, Brian",1985,Y,0,77469,HISTADD_brian_martin,0,,,,0,,1985
Cartier Martin,"Martin, Cartier",2008,Y,11,201858,cartier_martin,0,,,,0,,2014
Cuonzo Martin,"Martin, Cuonzo",1995,Y,0,733,cuonzo_martin,0,,,,0,,1996
Darrick Martin,"Martin, Darrick",1994,Y,0,239,darrick_martin,0,,,,0,,2007
Don Martin,"Martin, Don",1946,Y,0,77473,HISTADD_don_martin,0,,,,0,,1948
Donald Martin,"Martin, Donald",1946,Y,0,77471,HISTADD_dino_martin,0,,,,0,,1947
Fernando Martin,"Martin, Fernando",1986,Y,0,77472,HISTADD_fernando_martin,0,,,,0,,1986
Jarell Martin,"Martin, Jarell",2015,Y,11,1626185,jarell_martin,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2018
Jeff Martin,"Martin, Jeff",1989,Y,0,77474,HISTADD_jeff_martin,0,,,,0,,1990
Kenyon Martin,"Martin, Kenyon",2000,Y,0,2030,kenyon_martin,0,,,,0,,2014
Kevin Martin,"Martin, Kevin",2004,Y,0,2755,kevin_martin,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
Larue Martin,"Martin, Larue",1972,Y,0,77475,HISTADD_larue_martin,0,,,,0,,1975
Mo Martin,"Martin, Mo",1986,Y,0,77476,HISTADD_mo_martin,0,,,,0,,1987
Phil Martin,"Martin, Phil",1954,Y,0,77477,HISTADD_phil_martin,0,,,,0,,1954
Ronald Martin,"Martin, Ronald",1961,Y,0,77479,HISTADD_whitey_martin,0,,,,0,,1961
Slater Martin,"Martin, Slater",1949,Y,0,77480,HISTADD_slater_martin,0,,,,0,,1959
Jamal Mashburn,"Mashburn, Jamal",1993,Y,0,469,jamal_mashburn,0,,,,0,,2003
Al Masino,"Masino, Al",1952,Y,0,77482,HISTADD_al_masino,0,,,,0,,1953
Anthony Mason,"Mason, Anthony",1989,Y,0,193,anthony_mason,0,,,,0,,2002
Desmond Mason,"Mason, Desmond",2000,Y,0,2046,desmond_mason,0,,,,0,,2009
Frank Mason,"Mason, Frank",2017,Y,0,1628412,frank_mason,0,,,,0,,2018
Roger Mason Jr.,"Mason Jr., Roger",2002,Y,0,2427,roger_mason jr.,0,,,,0,,2013
Tony Massenburg,"Massenburg, Tony",1990,Y,0,763,tony_massenburg,0,,,,0,,2004
Eddie Mast,"Mast, Eddie",1970,Y,0,77483,HISTADD_eddie_mast,0,,,,0,,1972
Yante Maten,"Maten, Yante",2018,Y,1,1628999,yaten_maten,0,,,,0,,2018
Mangok Mathiang,"Mathiang, Mangok",2017,Y,1,1628493,mangok_mathiang,0,,,,0,,2017
Wes Matthews,"Matthews, Wes",1980,Y,0,77484,HISTADD_wes_matthews,0,,,,0,,1989
Wesley Matthews,"Matthews, Wesley",2009,Y,0,202083,wesley_matthews,1,DAL,Dallas,mavericks,1610612742,Mavericks,2018
Ariel Maughan,"Maughan, Ariel",1946,Y,0,77485,HISTADD_ace_maughan,0,,,,0,,1950
Marlon Maxey,"Maxey, Marlon",1992,Y,0,77486,HISTADD_marlon_maxey,0,,,,0,,1993
Jason Maxiell,"Maxiell, Jason",2005,Y,0,101131,jason_maxiell,0,,,,0,,2014
Cedric Maxwell,"Maxwell, Cedric",1977,Y,0,77487,HISTADD_cedric_maxwell,0,,,,0,,1987
Vernon Maxwell,"Maxwell, Vernon",1988,Y,0,137,vernon_maxwell,0,,,,0,,2000
Don May,"May, Don",1968,Y,0,77489,HISTADD_don_may,0,,,,0,,1974
Scott May,"May, Scott",1976,Y,0,77490,HISTADD_scott_may,0,,,,0,,1982
Sean May,"May, Sean",2005,Y,0,101118,sean_may,0,,,,0,,2009
Lee Mayberry,"Mayberry, Lee",1992,Y,0,195,lee_mayberry,0,,,,0,,1998
Clyde Mayes,"Mayes, Clyde",1975,Y,0,77492,HISTADD_clyde_mayes,0,,,,0,,1976
